section_links
&rlm;[[:Athlon]]&rlm; (hu)	Athlon
[[:שמש (סמל)]] (fr)	שמש (סמל)
&rlm;[[:Within a Deep Forest]]&rlm; (en)	Within a Deep Forest
[[:הפלה טבעית]] (it)	הפלה טבעית
[[:חוק הרחם החופשי]] (pt)	חוק הרחם החופשי
&rlm;[[:מגדלי YOO]]&rlm; (en)	מגדלי YOO
[[:הפרש (תורת הקבוצות)]] (en)	הפרש (תורת הקבוצות)
[[:חוג הגדי]] (de)	חוג הגדי
[[:חוג הסרטן]] (de)	חוג הסרטן
[[:סולן]] (de)	סולן
[[:הקצאת זיכרון דינמית]] (en)	הקצאת זיכרון דינמית
[[:מים אחרונים]] (en)	מים אחרונים
[[:מסילת כושר]] (fr)	מסילת כושר
&rlm;[[:Civilization IV]]&rlm; (de)	Civilization IV
[[:מעגל מור]] (en)	מעגל מור
[[:דיאגרמת עוגה]] (ru)	דיאגרמת עוגה
[[:מאמצים ראשיים]] (en)	מאמצים ראשיים
[[:כלכלת ברזיל]] (de)	כלכלת ברזיל
[[:ארמון הלטראנו]] (de)	ארמון הלטראנו
[[:רכבת הצ'ו צ'ו של היימליך]] (en)	רכבת הצ'ו צ'ו של היימליך
[[:אדריכלות יוון העתיקה]] (fr)	אדריכלות יוון העתיקה
[[:מרכז המבצעים הנשיאותי לשעת חירום]] (sv)	מרכז המבצעים הנשיאותי לשעת חירום
[[:פוליטיקה של בוסניה והרצגובינה]] (bn)	פוליטיקה של בוסניה והרצגובינה
[[:ממלכת הוואי]] (pt)	ממלכת הוואי
[[:מופסה]] (en)	מופסה
[[:גלדריאל]] (de)	גלדריאל
[[:ולינור]] (pl)	ולינור
[[:דרך בורמה (ישראל)]] (fr)	דרך בורמה (ישראל)
&rlm;[[:מדד תל אביב 75]]&rlm; (en)	מדד תל אביב 75
[[:הסילמריליון - דמויות משנה]] (de pl)	הסילמריליון - דמויות משנה
[[:הרמס קונרד]] (cs)	הרמס קונרד
[[:מגדל פיקוח]] (en)	מגדל פיקוח
[[:גז עצבים]] (sv)	גז עצבים
[[:משולם בן קלונימוס]] (en)	משולם בן קלונימוס
[[:סיבית זוגיות]] (fr)	סיבית זוגיות
[[:גאוגרפיה של הודו]] (de)	גאוגרפיה של הודו
[[:צדק חברתי]] (ru)	צדק חברתי
[[:תג יחידה]] (en)	תג יחידה
[[:אצבע משולשת]] (pt)	אצבע משולשת
[[:אקוומרין]] (en)	אקוומרין
[[:מעבר לשיטה המטרית]] (de)	מעבר לשיטה המטרית
[[:היסטוריה של אוסטריה]] (bn)	היסטוריה של אוסטריה
[[:תאונת אי שלושת המילין]] (de)	תאונת אי שלושת המילין
[[:פיקלהאובה]] (fi)	פיקלהאובה
[[:אירידיום (מיזם תקשורת לוויינית)]] (ja)	אירידיום (מיזם תקשורת לוויינית)
[[:מאון]] (de es ru)	מאון
[[:חור שחור על-מסיבי]] (tr)	חור שחור על-מסיבי
&rlm;[[:איירבוס A320]]&rlm; (it)	איירבוס A320
&rlm;[[:Grand Theft Auto 2]]&rlm; (de)	Grand Theft Auto 2
[[:מדד סימפסון]] (en)	מדד סימפסון
[[:מדד שאנון-ויבר]] (en)	מדד שאנון-ויבר
[[:גבול של פונקציה]] (nl)	גבול של פונקציה
[[:מודל דלטון]] (de)	מודל דלטון
[[:שער המוגרבים]] (en)	שער המוגרבים
[[:מיישר חצי גל]] (en)	מיישר חצי גל
[[:בית המקדש השני]] (es)	בית המקדש השני
[[:מקדש הורדוס]] (en)	מקדש הורדוס
[[:מבצע יורם]] (en fr)	מבצע יורם
[[:האנטילים הקטנים]] (mr)	האנטילים הקטנים
[[:האנטילים הגדולים]] (mr)	האנטילים הגדולים
[[:דרבי (טיל)]] (en)	דרבי (טיל)
[[:תיירות בישראל]] (bn)	תיירות בישראל
[[:פוליטיקה של לבנון]] (bn)	פוליטיקה של לבנון
[[:מיני מאוס]] (de)	מיני מאוס
[[:גרף מקרי]] (nl)	גרף מקרי
[[:קלרבל הפרה]] (de)	קלרבל הפרה
[[:גליצריד]] (ja)	גליצריד
[[:פלוסנבירג]] (fr pt)	פלוסנבירג
[[:מדינות לפי שם]] (sv)	מדינות לפי שם
[[:תחש (תנ"ך)]] (en)	תחש (תנ"ך)
[[:הנדסת הסביבה]] (ru)	הנדסת הסביבה
[[:בעיטה חופשית]] (ru)	בעיטה חופשית
[[:בריכת שחייה אולימפית]] (de)	בריכת שחייה אולימפית
[[:ג'אטי]] (de)	ג'אטי
[[:דייזי דאק]] (de)	דייזי דאק
[[:בית קאראדייל]] (en)	בית קאראדייל
[[:טרנספט]] (de)	טרנספט
[[:הישגים מיוחדים בכדורסל]] (de en)	הישגים מיוחדים בכדורסל
[[:אילובטר]] (de)	אילובטר
[[:מבצע בן נון ב']] (en fr)	מבצע בן נון ב'
[[:היסטוריה של רומניה]] (id)	היסטוריה של רומניה
[[:שרדר (צבי הנינג'ה)]] (pt)	שרדר (צבי הנינג'ה)
[[:קידוד לגסי]] (en)	קידוד לגסי
[[:ארפג'ו]] (it)	ארפג'ו
[[:פיל לבן]] (de)	פיל לבן
[[:עבודה הפרדתית]] (en)	עבודה הפרדתית
[[:כרטיס צהוב]] (en sl)	כרטיס צהוב
[[:משפחת הרצל]] (en)	משפחת הרצל
[[:תא דופן בקיבה]] (de)	תא דופן בקיבה
&rlm;[[:General Packet Radio Service]]&rlm; (ja)	General Packet Radio Service
[[:פוליטיקה של קטאר]] (bn)	פוליטיקה של קטאר
[[:מוטגן]] (it)	מוטגן
[[:גאוגרפיה של לבנון]] (bn)	גאוגרפיה של לבנון
[[:מקור השם "גאורגיה"]] (et it)	מקור השם "גאורגיה"
[[:האורקל מדלפי]] (fr)	האורקל מדלפי
[[:פוליטיקה של קוריאה הצפונית]] (bn)	פוליטיקה של קוריאה הצפונית
[[:הטאירה]] (fr)	הטאירה
[[:אדם בתוך עצמו]] (en)	אדם בתוך עצמו
&rlm;[[:וימפל K-13]]&rlm; (fr)	וימפל K-13
[[:סיטיזנדיום]] (de)	סיטיזנדיום
&rlm;[[:מגדלי התאומים 2]]&rlm; (sv)	מגדלי התאומים 2
[[:יום חיל הים]] (en)	יום חיל הים
[[:משפחה (פירושונים)]] (no)	משפחה (פירושונים)
[[:פארודוס]] (fr)	פארודוס
[[:רלטיביזם מוסרי]] (de)	רלטיביזם מוסרי
[[:בסיס לואיס]] (en)	בסיס לואיס
[[:אוסמוזה הפוכה]] (es)	אוסמוזה הפוכה
[[:חוק גה-ליסאק]] (de)	חוק גה-ליסאק
[[:מוטציה שקטה]] (de)	מוטציה שקטה
[[:ארוחת בוקר בטיפאני (סרט)]] (ja)	ארוחת בוקר בטיפאני (סרט)
[[:דפיברילטור]] (en)	דפיברילטור
[[:חוק שארל]] (de)	חוק שארל
[[:בלאקנד דת' מטאל]] (en it)	בלאקנד דת' מטאל
[[:כלכלת גרמניה המזרחית]] (de)	כלכלת גרמניה המזרחית
&rlm;[[:MicroSD]]&rlm; (uk)	MicroSD
[[:דגל גרמניה המזרחית]] (en)	דגל גרמניה המזרחית
[[:מניסקוס]] (pl)	מניסקוס
[[:קרמיט הצפרדע]] (de)	קרמיט הצפרדע
[[:ארוון]] (de)	ארוון
[[:גלגל הריחות]] (en)	גלגל הריחות
[[:תעודת מעבר]] (en)	תעודת מעבר
&rlm;[[:Wavelength-Division Multiplexing]]&rlm; (de)	Wavelength-Division Multiplexing
[[:אינדקס (מתמטיקה)]] (en ru)	אינדקס (מתמטיקה)
[[:מתאם פירסון]] (ru)	מתאם פירסון
[[:תיקון קורווין]] (de)	תיקון קורווין
[[:צלווח נתונים]] (de)	צלווח נתונים
[[:שיטת ברינל]] (de)	שיטת ברינל
[[:חלוקת הודו]] (it)	חלוקת הודו
[[:קוטר עלסופי]] (en)	קוטר עלסופי
[[:פיט (דמות)]] (de)	פיט (דמות)
[[:טרנסלוקציה רוברטסונית]] (de)	טרנסלוקציה רוברטסונית
[[:אורך פלאנק]] (de)	אורך פלאנק
[[:מאזן בוחן]] (de)	מאזן בוחן
[[:נקטרינה]] (en)	נקטרינה
[[:קשת מונגולית]] (pt)	קשת מונגולית
[[:סמל האיחוד האפריקאי]] (fi)	סמל האיחוד האפריקאי
[[:הומניזם חילוני]] (de)	הומניזם חילוני
[[:צפיפות מטען]] (es)	צפיפות מטען
[[:פרוגרסיב טראנס]] (en)	פרוגרסיב טראנס
[[:גולדסטאר]] (en)	גולדסטאר
[[:המושבה הגרמנית (חיפה)]] (de)	המושבה הגרמנית (חיפה)
[[:טנזור התמד]] (en)	טנזור התמד
[[:פוליטיקה של הממלכה המאוחדת]] (sv)	פוליטיקה של הממלכה המאוחדת
[[:הכתם האדום הגדול]] (en)	הכתם האדום הגדול
[[:ולינגטון (חבל)]] (mi)	ולינגטון (חבל)
[[:לורדים רוחניים]] (de)	לורדים רוחניים
[[:מעגל העוני]] (de)	מעגל העוני
&rlm;[[:Dangerous]]&rlm; (it)	Dangerous
[[:ערך ניבוי חיובי]] (de)	ערך ניבוי חיובי
[[:אריק ובנץ]] (de)	אריק ובנץ
[[:קופסה שחורה (פסיכולוגיה)]] (fr)	קופסה שחורה (פסיכולוגיה)
[[:גאוגרפיה של אוסטריה]] (bn)	גאוגרפיה של אוסטריה
[[:ריף (מוזיקה)]] (en)	ריף (מוזיקה)
[[:מערכת מודל]] (it)	מערכת מודל
&rlm;[[:דירוג החברות של כתב העת Fortune]]&rlm; (ru)	דירוג החברות של כתב העת Fortune
[[:אסון קפרון]] (cs)	אסון קפרון
[[:פאנגירל]] (en)	פאנגירל
[[:נזיר (נצרות)]] (de)	נזיר (נצרות)
[[:דמוגרפיה של תוניסיה]] (pt)	דמוגרפיה של תוניסיה
&rlm;[[:Game Boy Advance]]&rlm; (hu)	Game Boy Advance
[[:סאייו]] (fi)	סאייו
[[:אנודת הקרבה]] (de)	אנודת הקרבה
[[:מדפסת סיכות]] (fr)	מדפסת סיכות
[[:איבר (מתמטיקה)]] (ru)	איבר (מתמטיקה)
&rlm;[[:פחמן-11]]&rlm; (en)	פחמן-11
[[:גאוגרפיה של ערב הסעודית]] (bn)	גאוגרפיה של ערב הסעודית
&rlm;[[:Master of Orion II]]&rlm; (de)	Master of Orion II
&rlm;[[:F/A-18 סופר הורנט]]&rlm; (de fr)	F/A-18 סופר הורנט
[[:דיסק חיתוך]] (it)	דיסק חיתוך
[[:באטרס סטוץ']] (da)	באטרס סטוץ'
[[:מנעול צירופים]] (de)	מנעול צירופים
[[:ביצה עלומה]] (it)	ביצה עלומה
[[:אנרכיזם ודת]] (fi)	אנרכיזם ודת
[[:חיל האוויר המצרי]] (hu)	חיל האוויר המצרי
[[:שיטה מקובצת]] (en)	שיטה מקובצת
[[:מברשת]] (en)	מברשת
[[:ארוחת בוקר קונטיננטלית]] (en)	ארוחת בוקר קונטיננטלית
[[:נוסחת לוטשי העדשות]] (en)	נוסחת לוטשי העדשות
[[:התנגשות אלסטית]] (ru)	התנגשות אלסטית
[[:שמנת חמוצה]] (de)	שמנת חמוצה
[[:מצה בריי]] (de)	מצה בריי
[[:רוטב אספניול]] (de)	רוטב אספניול
[[:טבעת נישואין]] (de nl)	טבעת נישואין
[[:מנהגי אבלות בימי ספירת העומר]] (en)	מנהגי אבלות בימי ספירת העומר
[[:דיאלקט קונטינואום]] (it)	דיאלקט קונטינואום
[[:אוסטרוגותים]] (de)	אוסטרוגותים
[[:חגים ניידים (נצרות)]] (de)	חגים ניידים (נצרות)
[[:מכחול]] (en)	מכחול
[[:אבר מן החי]] (en)	אבר מן החי
[[:המצור בוואקו]] (de)	המצור בוואקו
[[:קטגוריה:ויקיפדיה - משתמש - שירות צבאי]] (en)	ויקיפדיה - משתמש - שירות צבאי
[[:תריסר של אופים]] (en)	תריסר של אופים
[[:על היהודים ושקריהם]] (de)	על היהודים ושקריהם
[[:הפלך]] (de lb)	הפלך
[[:רוב מיוחס]] (de)	רוב מיוחס
[[:בנימין (פירושונים)]] (sv)	בנימין (פירושונים)
[[:שירה אוגריתית]] (en)	שירה אוגריתית
[[:מתמיר]] (fr)	מתמיר
[[:רוז קוורץ]] (en)	רוז קוורץ
[[:זמן אחזור]] (el)	זמן אחזור
&rlm;[[:אירוויזיון 2008]]&rlm; (ga)	אירוויזיון 2008
[[:דיפלודוקוס הלורום]] (en es)	דיפלודוקוס הלורום
[[:מגי סימפסון]] (de ja)	מגי סימפסון
[[:הפארק הסולארי ואלדפולנץ]] (de)	הפארק הסולארי ואלדפולנץ
[[:שן טוחנת]] (eo)	שן טוחנת
&rlm;[[:ISO 216]]&rlm; (pl)	ISO 216
[[:שוש (ממתק)]] (de)	שוש (ממתק)
&rlm;[[:Nobody's Home]]&rlm; (lt)	Nobody's Home
[[:ארוחה]] (nl)	ארוחה
[[:היסטוריה של הרפובליקה המרכז-אפריקאית]] (pt)	היסטוריה של הרפובליקה המרכז-אפריקאית
[[:גיילטאכט]] (gl)	גיילטאכט
[[:היסטוריה של אוקראינה: אוקראינה העצמאית]] (en)	היסטוריה של אוקראינה: אוקראינה העצמאית
[[:סאק]] (sv)	סאק
[[:בין האולם ולמזבח]] (yi)	בין האולם ולמזבח
[[:דרך יריחו]] (en)	דרך יריחו
[[:רדיקל של מספר שלם]] (de)	רדיקל של מספר שלם
[[:יהדות ספרד (העידן המודרני)]] (en)	יהדות ספרד (העידן המודרני)
[[:המערכה במזרח התיכון במלחמת העולם השנייה]] (en)	המערכה במזרח התיכון במלחמת העולם השנייה
[[:כלכלת בלארוס]] (bn)	כלכלת בלארוס
[[:סינוס (טריגונומטריה)]] (no)	סינוס (טריגונומטריה)
[[:פרנקים (כינוי)]] (en)	פרנקים (כינוי)
[[:פוליטיקה של איראן]] (bn)	פוליטיקה של איראן
[[:פסיכרומטר]] (en fr)	פסיכרומטר
[[:חמאסטן]] (de)	חמאסטן
[[:האימפריה הבולגרית]] (pt)	האימפריה הבולגרית
[[:מקדמיה]] (ja)	מקדמיה
[[:היסטוריה של קריית הוותיקן]] (en)	היסטוריה של קריית הוותיקן
[[:חבית נפט]] (en)	חבית נפט
[[:תחיליות במערכת היחידות הבינלאומית]] (fi)	תחיליות במערכת היחידות הבינלאומית
[[:אגסילאוס]] (de)	אגסילאוס
[[:בטלסטאר גלקטיקה]] (ru)	בטלסטאר גלקטיקה
[[:היסטוריה של בוסניה והרצגובינה]] (be-x-old bg da el fi gl hu id it ja sk sw zh)	היסטוריה של בוסניה והרצגובינה
[[:שבעת פלאי תבל החדשים]] (de)	שבעת פלאי תבל החדשים
[[:סיטרין]] (en)	סיטרין
[[:מתקף]] (de sv)	מתקף
[[:מסע הצלב האלביגנזי]] (eo)	מסע הצלב האלביגנזי
[[:קטמונים]] (en)	קטמונים
[[:הברית הקדושה]] (it)	הברית הקדושה
[[:מיון ערימה]] (no)	מיון ערימה
&rlm;[[:Because Of You (קלי קלרקסון)]]&rlm; (de)	Because Of You (קלי קלרקסון)
[[:אפקט אוז'ה]] (de)	אפקט אוז'ה
[[:האקרופוליס באתונה]] (lt)	האקרופוליס באתונה
[[:זכות קדימה]] (de)	זכות קדימה
[[:הדוויג]] (tr)	הדוויג
[[:מסובבי הכתף]] (de)	מסובבי הכתף
[[:קציץ בשר]] (it)	קציץ בשר
[[:היסטוריה של בולגריה]] (af ast be-x-old br bs el gl li sh wa)	היסטוריה של בולגריה
[[:הקדמה לשייקספיר]] (en)	הקדמה לשייקספיר
&rlm;[[:The Jimi Hendrix Experience]]&rlm; (de)	The Jimi Hendrix Experience
[[:תאוות בצע]] (nl)	תאוות בצע
[[:מחסום הקול]] (de)	מחסום הקול
[[:מלחמת הבלקן הראשונה]] (nl)	מלחמת הבלקן הראשונה
[[:מודול נותרי]] (de)	מודול נותרי
[[:הגל השלישי של הפמיניזם]] (de)	הגל השלישי של הפמיניזם
[[:קטגוריה:ויקיפדיה - משתמש - כלי נגינה]] (en)	ויקיפדיה - משתמש - כלי נגינה
[[:קטגוריה:ויקיפדיה - משתמש - תואר אקדמי]] (en)	ויקיפדיה - משתמש - תואר אקדמי
[[:קטגוריה:ויקיפדיה - משתמש - מוסד לימודים]] (en)	ויקיפדיה - משתמש - מוסד לימודים
[[:נות]] (ca)	נות
[[:קטגוריה:ויקיפדיה - משתמש - משחקי שולחן]] (en)	ויקיפדיה - משתמש - משחקי שולחן
[[:לורד]] (fr)	לורד
[[:חנדלה]] (ca de en es fr)	חנדלה
[[:פרוטאוריזם]] (sv)	פרוטאוריזם
[[:גרונטופיליה]] (sv)	גרונטופיליה
[[:עובד]] (en)	עובד
[[:נד פלנדרז]] (de pl)	נד פלנדרז
[[:מיון יציב]] (en)	מיון יציב
[[:חוקי התורשה של מנדל]] (it)	חוקי התורשה של מנדל
[[:מונטגומרי ברנז]] (de pl)	מונטגומרי ברנז
[[:קוי]] (ja)	קוי
[[:באז'ה]] (en)	באז'ה
[[:המדינה העמוקה]] (fr)	המדינה העמוקה
[[:מטריצה ריבועית]] (en)	מטריצה ריבועית
[[:היסטוריה של קוריאה]] (de)	היסטוריה של קוריאה
&rlm;[[:WCW]]&rlm; (el)	WCW
[[:שער גן העדן]] (eu)	שער גן העדן
[[:גיאורגי הראשון]] (de)	גיאורגי הראשון
[[:גיאורגי השני]] (de)	גיאורגי השני
[[:קיסר הודו]] (pl)	קיסר הודו
[[:אזור סחר חופשי]] (vi)	אזור סחר חופשי
[[:יתירות]] (pl)	יתירות
[[:אנדרטת ברטולומיאו קוליאוני]] (en)	אנדרטת ברטולומיאו קוליאוני
[[:פחד ראשוני]] (ja)	פחד ראשוני
[[:מלך ממלכת אימרתי]] (en)	מלך ממלכת אימרתי
[[:משמרת יהויריב]] (en)	משמרת יהויריב
[[:עיבוד מזון]] (de)	עיבוד מזון
&rlm;[[:و]]&rlm; (en)	و
[[:תפנות]] (ca)	תפנות
[[:נים (משחק)]] (cs)	נים (משחק)
[[:גאוגרפיה של גאורגיה]] (bn)	גאוגרפיה של גאורגיה
[[:תקרת הקפלה הסיסטינית]] (de)	תקרת הקפלה הסיסטינית
[[:יחידה ליתוסטרטיגרפית]] (en)	יחידה ליתוסטרטיגרפית
[[:היסטוריה של האיטי]] (nl)	היסטוריה של האיטי
[[:ערך תצפית (תורת הקוונטים)]] (de)	ערך תצפית (תורת הקוונטים)
[[:דג בבל]] (cs en)	דג בבל
[[:כרובי]] (de)	כרובי
[[:בובת וודו]] (en)	בובת וודו
[[:נוסחת אוילר]] (ca en fr ru)	נוסחת אוילר
[[:אינטגרל רב-ממדי]] (de)	אינטגרל רב-ממדי
[[:הדרן]] (it)	הדרן
[[:חבטת גב יד]] (simple)	חבטת גב יד
&rlm;[[:ر]]&rlm; (en)	ر
[[:בלדווין השני]] (de)	בלדווין השני
[[:שרשרת (מתמטיקה)]] (en)	שרשרת (מתמטיקה)
[[:על אודות האדריכלות]] (de)	על אודות האדריכלות
&rlm;[[:ي]]&rlm; (en)	ي
[[:אתונו של בלעם]] (en)	אתונו של בלעם
[[:קידוד וידאו]] (en)	קידוד וידאו
[[:קידוד אודיו]] (en)	קידוד אודיו
[[:משק המים בגוף האדם]] (de)	משק המים בגוף האדם
[[:בירה מכבי]] (en)	בירה מכבי
[[:מפתח זר]] (de no)	מפתח זר
&rlm;[[:השביתה הכללית בברצלונה (1919)]]&rlm; (en)	השביתה הכללית בברצלונה (1919)
[[:כלכלת קפריסין]] (bn)	כלכלת קפריסין
[[:צבא האימפריה העות'מאנית]] (sv)	צבא האימפריה העות'מאנית
[[:דותן]] (ru)	דותן
&rlm;[[:באגר 288]]&rlm; (ja)	באגר 288
[[:דירוג אג"ח]] (de)	דירוג אג"ח
[[:חוק אבוגדרו]] (it)	חוק אבוגדרו
[[:דבק עצמות]] (zh)	דבק עצמות
[[:אברציה כדורית]] (de)	אברציה כדורית
[[:חטיבת ביניים בישראל]] (de nl)	חטיבת ביניים בישראל
[[:סמל רובע וונדסוורת']] (en)	סמל רובע וונדסוורת'
[[:שבעת פלאי תבל של ימי הביניים]] (en)	שבעת פלאי תבל של ימי הביניים
[[:סמל רובע הארינגיי]] (en)	סמל רובע הארינגיי
[[:מחלף עלה תלתן]] (de)	מחלף עלה תלתן
[[:סלע פלוטוני]] (sv)	סלע פלוטוני
[[:פרנקפורט (פירושונים)]] (zh)	פרנקפורט (פירושונים)
&rlm;[[:כביש 9 (ירושלים)]]&rlm; (en)	כביש 9 (ירושלים)
[[:ארנסט סטאברו בלופלד]] (de)	ארנסט סטאברו בלופלד
[[:קילומטר אפס]] (ro)	קילומטר אפס
[[:שפה אנליטית]] (eo)	שפה אנליטית
[[:מודל מנעול-מפתח]] (en)	מודל מנעול-מפתח
[[:לוח צפחה]] (de)	לוח צפחה
[[:מילר (חברה)]] (de)	מילר (חברה)
[[:גרף עמודות]] (fr)	גרף עמודות
[[:עולם האצילות]] (ru)	עולם האצילות
&rlm;[[:אצטיל קואנזים A]]&rlm; (de)	אצטיל קואנזים A
[[:קוק (דלק)]] (it)	קוק (דלק)
[[:קונסול כבוד]] (en)	קונסול כבוד
[[:זוכי פרס ישראל]] (de)	זוכי פרס ישראל
[[:אדריכלות ממלוכית]] (en)	אדריכלות ממלוכית
[[:זמן עצמי]] (de)	זמן עצמי
[[:פורט נוקס]] (de)	פורט נוקס
[[:תהליך ברגיוס]] (de)	תהליך ברגיוס
[[:גב (אל)]] (ca)	גב (אל)
[[:ניקור מותני]] (ja)	ניקור מותני
[[:חבורת אוטומורפיזמים]] (en)	חבורת אוטומורפיזמים
[[:גדילן קוץ-רגל]] (en)	גדילן קוץ-רגל
[[:התנגשות פלסטית]] (ru)	התנגשות פלסטית
[[:סער בהיר-להב]] (en)	סער בהיר-להב
[[:רכבת נוסעים]] (en)	רכבת נוסעים
[[:מועצת העיר טביליסי]] (ka)	מועצת העיר טביליסי
&rlm;[[:QWERTY]]&rlm; (it)	QWERTY
[[:אלרונד]] (de simple)	אלרונד
[[:ספירת קלפים]] (de)	ספירת קלפים
[[:אינויאשה (דמות)]] (ca)	אינויאשה (דמות)
[[:שדה פיצול]] (de)	שדה פיצול
[[:ניפוץ]] (nl)	ניפוץ
[[:קשר אורגים כפול]] (en ja)	קשר אורגים כפול
[[:אפקט עין העש]] (en)	אפקט עין העש
[[:אינטרוספקציה]] (ja)	אינטרוספקציה
[[:מייקל מאיירס]] (de)	מייקל מאיירס
[[:עדולם]] (de)	עדולם
[[:קשור ופתור]] (en)	קשור ופתור
[[:פרוונות]] (en)	פרוונות
[[:ריוונדל]] (de lb)	ריוונדל
[[:חניית שם מתחם]] (fr)	חניית שם מתחם
[[:תוספת יוקר]] (en)	תוספת יוקר
[[:נייסא]] (en sv)	נייסא
[[:מורה מן החוץ]] (en)	מורה מן החוץ
[[:טלסקופ שובר-אור]] (ja)	טלסקופ שובר-אור
[[:מינרל (תזונה)]] (ca)	מינרל (תזונה)
[[:יהודית]] (fr)	יהודית
&rlm;[[:MPEG-2]]&rlm; (nl)	MPEG-2
[[:מעסיק]] (en)	מעסיק
[[:אהבת ה']] (de en)	אהבת ה'
[[:סחורה תמורת דם]] (en)	סחורה תמורת דם
[[:ספיר (אבן חן מקראית)]] (en ru)	ספיר (אבן חן מקראית)
[[:דגל הרם]] (de)	דגל הרם
[[:דגל סרק]] (de)	דגל סרק
[[:אזרחות כפולה]] (de)	אזרחות כפולה
[[:ארומנוס]] (en)	ארומנוס
[[:האמפיתיאטרון באל ג'ם]] (en)	האמפיתיאטרון באל ג'ם
&rlm;[[:ط]]&rlm; (en)	ط
[[:מערכת פאנו]] (hu)	מערכת פאנו
[[:ריתוך נקודות]] (de it)	ריתוך נקודות
[[:משא]] (th)	משא
[[:כוכב בורח]] (en)	כוכב בורח
[[:תוכנת צריבה]] (en)	תוכנת צריבה
[[:שו (אל)]] (ca)	שו (אל)
[[:טוחן]] (fr)	טוחן
[[:היסטוריה של מיאנמר]] (bn)	היסטוריה של מיאנמר
[[:אתגר מיליון הדולר להוכחת העל־טבעי]] (en)	אתגר מיליון הדולר להוכחת העל־טבעי
[[:חרטום בולבוסי]] (de)	חרטום בולבוסי
&rlm;[[:Ivalice Alliance]]&rlm; (en)	Ivalice Alliance
&rlm;[[:ف]]&rlm; (en)	ف
&rlm;[[:ق]]&rlm; (en)	ق
[[:מחולל מספרים אקראיים]] (de)	מחולל מספרים אקראיים
[[:חוק הדיפוזיה של פיק]] (de)	חוק הדיפוזיה של פיק
&rlm;[[:ل]]&rlm; (en)	ل
&rlm;[[:م]]&rlm; (en)	م
[[:הסנאט הקנדי]] (sv)	הסנאט הקנדי
[[:נחיתת חירום]] (de)	נחיתת חירום
[[:קרמה קטלנה]] (en)	קרמה קטלנה
[[:קדימה (מושבה)]] (en)	קדימה (מושבה)
[[:צורן (יישוב קהילתי)]] (en)	צורן (יישוב קהילתי)
[[:הערות אלבום]] (de)	הערות אלבום
[[:מרי מורסטן]] (en ru)	מרי מורסטן
[[:שף (סאות' פארק)]] (pl)	שף (סאות' פארק)
[[:סימון סלאש של פיינמן]] (de)	סימון סלאש של פיינמן
[[:שמירת היריון]] (sv)	שמירת היריון
[[:גראנד מאסטר (הוספיטלרים)]] (mt sr)	גראנד מאסטר (הוספיטלרים)
[[:מיני-סדרה]] (it)	מיני-סדרה
[[:קפריצ'ו]] (de)	קפריצ'ו
&rlm;[[:At]]&rlm; (hu)	At
&rlm;[[:An]]&rlm; (fr)	An
[[:פנולוגיה (קרימינולוגיה)]] (pl)	פנולוגיה (קרימינולוגיה)
&rlm;[[:Geo Eye 1]]&rlm; (fi)	Geo Eye 1
[[:שח כפול]] (de sv)	שח כפול
[[:אראסטס]] (en)	אראסטס
[[:טלסקופ דובסוני]] (nl)	טלסקופ דובסוני
[[:חמור הזהב]] (de)	חמור הזהב
[[:שברון (הרלדיקה)]] (en fr)	שברון (הרלדיקה)
[[:בית הכנסת הגדול של ולודבה]] (en)	בית הכנסת הגדול של ולודבה
[[:קבוע קפרקר]] (ja)	קבוע קפרקר
[[:פגז נפיץ פלסטי]] (pl)	פגז נפיץ פלסטי
&rlm;[[:CERA]]&rlm; (fr)	CERA
[[:הונאת פונזי]] (ru)	הונאת פונזי
[[:שעונית מרובעת]] (de)	שעונית מרובעת
[[:קו המשווה השמימי]] (de)	קו המשווה השמימי
[[:בול דמי דואר]] (de)	בול דמי דואר
[[:היפוציקלואיד]] (de nl)	היפוציקלואיד
[[:טרנס ופיליפ]] (en fi hu pl)	טרנס ופיליפ
[[:אבק כוכבים (סרט)]] (ja)	אבק כוכבים (סרט)
[[:פונקציית בסל]] (it)	פונקציית בסל
[[:אלישבע, אם יוחנן המטביל]] (gl)	אלישבע, אם יוחנן המטביל
[[:שבועת הרופאים]] (hu)	שבועת הרופאים
&rlm;[[:וב 3.0]]&rlm; (en)	וב 3.0
[[:גרף נרות יפניים]] (de)	גרף נרות יפניים
[[:שואת יהודי הונגריה]] (de en)	שואת יהודי הונגריה
&rlm;[[:ﺓ]]&rlm; (en)	ﺓ
[[:בשורות אפוקריפיות]] (de en)	בשורות אפוקריפיות
[[:פולמוס קיטוס]] (en)	פולמוס קיטוס
[[:מסלול עקלתון]] (fr)	מסלול עקלתון
[[:כדור סרק]] (nl)	כדור סרק
[[:המהפכה הכימית]] (sv)	המהפכה הכימית
[[:ניסוי רתרפורד]] (de)	ניסוי רתרפורד
[[:הנסיך הפרסי: חולות הזמן]] (de)	הנסיך הפרסי: חולות הזמן
[[:היפרגרף]] (de)	היפרגרף
[[:פוליטיקה של בלארוס]] (bn)	פוליטיקה של בלארוס
[[:ניבלר]] (ru)	ניבלר
[[:מחוזות בלארוס]] (ar)	מחוזות בלארוס
[[:פציעת מאמץ חוזרני]] (es)	פציעת מאמץ חוזרני
[[:סרבוסייק]] (en)	סרבוסייק
